[2015-05-23 12:56:04] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=SketchBox, #chunks=169
[2015-05-23 12:56:04] Loader added at [-412,127,553] in the overworld, owner=SketchBox, #chunks=121
[2015-05-23 12:56:05] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=SketchBox, #chunks=121
[2015-05-23 12:56:05] Loader added at [-412,127,553] in the overworld, owner=SketchBox, #chunks=81
[2015-05-23 12:56:05] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=SketchBox, #chunks=81
[2015-05-23 12:56:05] Loader added at [-412,127,553] in the overworld, owner=SketchBox, #chunks=49
[2015-05-23 12:56:05] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=SketchBox, #chunks=49
[2015-05-23 12:56:05] Loader added at [-412,127,553] in the overworld, owner=SketchBox, #chunks=25
[2015-05-23 12:56:06] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=SketchBox, #chunks=25
[2015-05-23 12:56:06] Loader added at [-412,127,553] in the overworld, owner=SketchBox, #chunks=49
[2015-05-23 12:56:45] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=SketchBox, #chunks=49
[2015-05-23 12:56:45] Loader added at [-412,127,553] in the overworld, owner=<server>, #chunks=49
[2015-05-23 12:58:52] Loader removed (chunks will stay loaded for one second) at [-408,165,742] in the overworld, owner=<server>, #chunks=25
[2015-05-23 12:58:52] Loader added at [-408,165,742] in the overworld, owner=<server>, #chunks=9
[2015-05-23 12:58:52] Loader removed (chunks will stay loaded for one second) at [-408,165,742] in the overworld, owner=<server>, #chunks=9
[2015-05-23 12:58:52] Loader added at [-408,165,742] in the overworld, owner=<server>, #chunks=1
[2015-05-23 12:59:00] Loader removed (chunks will stay loaded for one second) at [-408,165,742] in the overworld, owner=<server>, #chunks=1
[2015-05-23 12:59:00] Loader added at [-408,165,742] in the overworld, owner=<server>, #chunks=9
[2015-05-23 12:59:09] Loader removed (chunks will stay loaded for one second) at [-408,165,742] in the overworld, owner=<server>, #chunks=9
[2015-05-23 12:59:09] Loader added at [-408,165,742] in the overworld, owner=<server>, #chunks=25
[2015-05-23 12:59:10] Loader removed (chunks will stay loaded for one second) at [-408,165,742] in the overworld, owner=<server>, #chunks=25
[2015-05-23 12:59:10] Loader added at [-408,165,742] in the overworld, owner=<server>, #chunks=49
[2015-05-23 12:59:23] Loader removed (chunks will stay loaded for one second) at [-408,165,742] in the overworld, owner=<server>, #chunks=49
[2015-05-23 12:59:23] Loader added at [-408,165,742] in the overworld, owner=<server>, #chunks=25
[2015-05-23 12:59:30] Loader removed (chunks will stay loaded for one second) at [-408,165,742] in the overworld, owner=<server>, #chunks=25
[2015-05-23 12:59:30] Loader added at [-408,165,742] in the overworld, owner=<server>, #chunks=9
[2015-05-23 13:00:59] Loader removed (chunks will stay loaded for one second) at [225,90,1273] in the overworld, owner=<server>, #chunks=9
[2015-05-23 13:00:59] Loader added at [225,90,1273] in the overworld, owner=<server>, #chunks=1
[2015-05-23 13:01:11] Loader removed (chunks will stay loaded for one second) at [225,90,1273] in the overworld, owner=<server>, #chunks=1
[2015-05-23 13:01:11] Loader added at [225,90,1273] in the overworld, owner=<server>, #chunks=9
[2015-05-23 15:39:30] Loader added at [-421,165,736] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-23 15:39:30] Loader removed (chunks will stay loaded for one second) at [-421,165,736] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-23 15:39:30] Loader added at [-421,165,736] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 15:39:30] Loader validated at [-421,165,736] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 15:39:30] Loader removed (chunks will stay loaded for one second) at [-421,165,736] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 15:39:30] Loader invalidated/removed at [-421,165,736] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 15:39:30] Loader added at [-421,165,736] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-23 15:39:30] Loader removed (chunks will stay loaded for one second) at [-421,165,736] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-23 15:39:30] Loader added at [-421,165,736] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 15:39:30] Loader validated at [-421,165,736] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 15:39:30] Loader removed (chunks will stay loaded for one second) at [-421,165,736] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 15:39:30] Loader added at [-421,165,736] in the overworld, owner=Gr8Gildersleeve, #chunks=1
[2015-05-23 15:39:34] Loader removed (chunks will stay loaded for one second) at [-421,165,736] in the overworld, owner=Gr8Gildersleeve, #chunks=1
[2015-05-23 15:39:34] Loader added at [-421,165,736] in the overworld, owner=Gr8Gildersleeve, #chunks=1
[2015-05-23 15:39:35] Loader removed (chunks will stay loaded for one second) at [-421,165,736] in the overworld, owner=Gr8Gildersleeve, #chunks=1
[2015-05-23 15:39:35] Loader added at [-421,165,736] in the overworld, owner=Gr8Gildersleeve, #chunks=1
[2015-05-23 15:39:35] Loader removed (chunks will stay loaded for one second) at [-421,165,736] in the overworld, owner=Gr8Gildersleeve, #chunks=1
[2015-05-23 15:39:35] Loader added at [-421,165,736] in the overworld, owner=Gr8Gildersleeve, #chunks=1
[2015-05-23 15:39:36] Loader removed (chunks will stay loaded for one second) at [-421,165,736] in the overworld, owner=Gr8Gildersleeve, #chunks=1
[2015-05-23 15:39:36] Loader added at [-421,165,736] in the overworld, owner=Gr8Gildersleeve, #chunks=9
[2015-05-23 15:39:37] Loader removed (chunks will stay loaded for one second) at [-421,165,736] in the overworld, owner=Gr8Gildersleeve, #chunks=9
[2015-05-23 15:39:37] Loader added at [-421,165,736] in the overworld, owner=Gr8Gildersleeve, #chunks=25
[2015-05-23 15:39:38] Loader removed (chunks will stay loaded for one second) at [-421,165,736] in the overworld, owner=Gr8Gildersleeve, #chunks=25
[2015-05-23 15:39:38] Loader added at [-421,165,736] in the overworld, owner=Gr8Gildersleeve, #chunks=9
[2015-05-23 15:39:39] Loader removed (chunks will stay loaded for one second) at [-421,165,736] in the overworld, owner=Gr8Gildersleeve, #chunks=9
[2015-05-23 15:39:39] Loader added at [-421,165,736] in the overworld, owner=<server>, #chunks=9
[2015-05-23 15:39:58] Loader added at [-411,177,743] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-23 15:39:58] Loader removed (chunks will stay loaded for one second) at [-411,177,743] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-23 15:39:58] Loader added at [-411,177,743] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 15:39:58] Loader validated at [-411,177,743] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 15:39:58] Loader removed (chunks will stay loaded for one second) at [-411,177,743] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 15:39:58] Loader added at [-411,177,743] in the overworld, owner=Gr8Gildersleeve, #chunks=1
[2015-05-23 15:40:03] Loader removed (chunks will stay loaded for one second) at [-411,177,743] in the overworld, owner=Gr8Gildersleeve, #chunks=1
[2015-05-23 15:40:03] Loader added at [-411,177,743] in the overworld, owner=Gr8Gildersleeve, #chunks=9
[2015-05-23 15:40:05] Loader removed (chunks will stay loaded for one second) at [-411,177,743] in the overworld, owner=Gr8Gildersleeve, #chunks=9
[2015-05-23 15:40:05] Loader added at [-411,177,743] in the overworld, owner=<server>, #chunks=9
[2015-05-23 15:40:22] Loader added at [-431,165,757] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-23 15:40:22] Loader removed (chunks will stay loaded for one second) at [-431,165,757] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-23 15:40:22] Loader added at [-431,165,757] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 15:40:22] Loader validated at [-431,165,757] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 15:40:22] Loader removed (chunks will stay loaded for one second) at [-431,165,757] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 15:40:22] Loader added at [-431,165,757] in the overworld, owner=Gr8Gildersleeve, #chunks=1
[2015-05-23 15:40:24] Loader removed (chunks will stay loaded for one second) at [-431,165,757] in the overworld, owner=Gr8Gildersleeve, #chunks=1
[2015-05-23 15:40:24] Loader added at [-431,165,757] in the overworld, owner=Gr8Gildersleeve, #chunks=9
[2015-05-23 15:40:26] Loader removed (chunks will stay loaded for one second) at [-431,165,757] in the overworld, owner=Gr8Gildersleeve, #chunks=9
[2015-05-23 15:40:26] Loader added at [-431,165,757] in the overworld, owner=<server>, #chunks=9
[2015-05-23 15:40:45] Loader added at [-427,165,731] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-23 15:40:45] Loader removed (chunks will stay loaded for one second) at [-427,165,731] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-23 15:40:45] Loader added at [-427,165,731] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 15:40:45] Loader validated at [-427,165,731] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 15:40:45] Loader removed (chunks will stay loaded for one second) at [-427,165,731] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 15:40:45] Loader added at [-427,165,731] in the overworld, owner=Gr8Gildersleeve, #chunks=1
[2015-05-23 15:40:47] Loader removed (chunks will stay loaded for one second) at [-427,165,731] in the overworld, owner=Gr8Gildersleeve, #chunks=1
[2015-05-23 15:40:47] Loader added at [-427,165,731] in the overworld, owner=Gr8Gildersleeve, #chunks=9
[2015-05-23 15:40:48] Loader removed (chunks will stay loaded for one second) at [-427,165,731] in the overworld, owner=Gr8Gildersleeve, #chunks=9
[2015-05-23 15:40:48] Loader added at [-427,165,731] in the overworld, owner=Gr8Gildersleeve, #chunks=3
[2015-05-23 15:40:49] Loader removed (chunks will stay loaded for one second) at [-427,165,731] in the overworld, owner=Gr8Gildersleeve, #chunks=3
